,id,full_name,first_name,last_name,is_active
4441,1631133,Jabari Walker,Jabari,Walker,1
4443,202689,Kemba Walker,Kemba,Walker,1
4449,1629022,Lonnie Walker IV,Lonnie,Walker IV,1
4450,202322,John Wall,John,Wall,1
4481,203933,T.J. Warren,T.J.,Warren,1
4494,1629023,P.J. Washington,P.J.,Washington,1
4498,1630613,Duane Washington Jr.,Duane,Washington Jr.,1
4499,1631102,TyTy Washington Jr.,TyTy,Washington Jr.,1
4500,1629139,Yuta Watanabe,Yuta,Watanabe,1
4502,1630322,Lindy Waters III,Lindy,Waters III,1
4503,1630570,Trendon Watford,Trendon,Watford,1
4509,1631212,Peyton Watson,Peyton,Watson,1
4517,1629683,Quinndary Weatherspoon,Quinndary,Weatherspoon,1
4546,1631104,Blake Wesley,Blake,Wesley,1
4556,201566,Russell Westbrook,Russell,Westbrook,1
4565,1629632,Coby White,Coby,White,1
4567,1628401,Derrick White,Derrick,White,1
4571,1631298,Jack White,Jack,White,1
4597,1630580,Joe Wieskamp,Joe,Wieskamp,1
4598,1630598,Aaron Wiggins,Aaron,Wiggins,1
4599,203952,Andrew Wiggins,Andrew,Wiggins,1
4601,1629623,Lindell Wigginton,Lindell,Wigginton,1
4624,1631214,Alondes Williams,Alondes,Williams,1
4645,1629684,Grant Williams,Grant,Williams,1
4650,1631114,Jalen Williams,Jalen,Williams,1
4654,1631119,Jaylin Williams,Jaylin,Williams,1
4656,1631466,Jeenathan Williams,Jeenathan,Williams,1
4663,1629026,Kenrich Williams,Kenrich,Williams,1
4669,1631109,Mark Williams,Mark,Williams,1
4677,1630172,Patrick Williams,Patrick,Williams,1
4699,1630533,Ziaire Williams,Ziaire,Williams,1
4700,1629057,Robert Williams III,Robert,Williams III,1
4702,1631246,Vince Williams Jr.,Vince,Williams Jr.,1
4706,1629627,Zion Williamson,Zion,Williamson,1
4712,1628391,D.J. Wilson,D.J.,Wilson,1
4726,1629685,Dylan Windler,Dylan,Windler,1
4733,1626159,Justise Winslow,Justise,Winslow,1
4740,1630164,James Wiseman,James,Wiseman,1
4751,1626174,Christian Wood,Christian,Wood,1
4774,1626153,Delon Wright,Delon,Wright,1
4784,1630593,McKinley Wright IV,McKinley,Wright IV,1
4806,201152,Thaddeus Young,Thaddeus,Young,1
4808,1629027,Trae Young,Trae,Young,1
4809,1630209,Omer Yurtseven,Omer,Yurtseven,1
4812,203469,Cody Zeller,Cody,Zeller,1
4829,1627826,Ivica Zubac,Ivica,Zubac,1
