,id,full_name,first_name,last_name,is_active
2658,1630588,Makur Maker,Makur,Maker,1
2667,1630572,Sandro Mamukelashvili,Sandro,Mamukelashvili,1
2673,1629611,Terance Mann,Terance,Mann,1
2674,1630544,Tre Mann,Tre,Mann,1
2690,1626246,Boban Marjanovic,Boban,Marjanovic,1
2691,1628374,Lauri Markkanen,Lauri,Markkanen,1
2700,1630230,Naji Marshall,Naji,Marshall,1
2707,1628997,Caleb Martin,Caleb,Martin,1
2709,1628998,Cody Martin,Cody,Martin,1
2718,1629103,Kelan Martin,Kelan,Martin,1
2726,1631213,Tyrese Martin,Tyrese,Martin,1
2727,1630231,Kenyon Martin Jr.,Kenyon,Martin Jr.,1
2737,1629726,Garrison Mathews,Garrison,Mathews,1
2740,1631097,Bennedict Mathurin,Bennedict,Mathurin,1
2742,202083,Wesley Matthews,Wesley,Matthews,1
2745,1630178,Tyrese Maxey,Tyrese,Maxey,1
2759,1630219,Skylar Mays,Skylar,Mays,1
2767,1630540,Miles McBride,Miles,McBride,1
2789,203468,CJ McCollum,CJ,McCollum,1
2792,204456,T.J. McConnell,T.J.,McConnell,1
2805,1630183,Jaden McDaniels,Jaden,McDaniels,1
2806,1629667,Jalen McDaniels,Jalen,McDaniels,1
2809,203926,Doug McDermott,Doug,McDermott,1
2810,1630253,Sean McDermott,Sean,McDermott,1
2820,201580,JaVale McGee,JaVale,McGee,1
2825,1631121,Bryce McGowens,Bryce,McGowens,1
2829,203585,Rodney McGruder,Rodney,McGruder,1
2849,1629162,Jordan McLaughlin,Jordan,McLaughlin,1
2890,1629001,De'Anthony Melton,De'Anthony,Melton,1
2900,1630241,Sam Merrill,Sam,Merrill,1
2902,1629002,Chimezie Metu,Chimezie,Metu,1
2908,203114,Khris Middleton,Khris,Middleton,1
2933,1630627,Isaiah Miller,Isaiah,Miller,1
2943,201988,Patty Mills,Patty,Mills,1
2947,1629003,Shake Milton,Shake,Milton,1
2953,1631169,Josh Minott,Josh,Minott,1
2957,1630558,Davion Mitchell,Davion,Mitchell,1
2958,1628378,Donovan Mitchell,Donovan,Mitchell,1
2965,1630342,Trhae Mitchell,Trhae,Mitchell,1
2971,1630596,Evan Mobley,Evan,Mobley,1
2972,1630600,Isaiah Mobley,Isaiah,Mobley,1
2982,1631320,Chima Moneke,Chima,Moneke,1
2985,1628370,Malik Monk,Malik,Monk,1
2992,1630541,Moses Moody,Moses,Moody,1
2994,1629875,Xavier Moon,Xavier,Moon,1
3007,1631111,Wendell Moore Jr.,Wendell,Moore Jr.,1
3008,1629630,Ja Morant,Ja,Morant,1
3020,202693,Markieff Morris,Markieff,Morris,1
3022,1628420,Monte Morris,Monte,Morris,1
3025,202694,Marcus Morris Sr.,Marcus,Morris Sr.,1
3046,1628539,Mychal Mulder,Mychal,Mulder,1
3069,1630530,Trey Murphy III,Trey,Murphy III,1
3070,1627749,Dejounte Murray,Dejounte,Murray,1
3072,1627750,Jamal Murray,Jamal,Murray,1
3073,1631099,Keegan Murray,Keegan,Murray,1
3080,203488,Mike Muscala,Mike,Muscala,1
3086,1629004,Svi Mykhailiuk,Svi,Mykhailiuk,1
3099,1626204,Larry Nance Jr.,Larry,Nance Jr.,1
3126,1629614,Andrew Nembhard,Andrew,Nembhard,1
3128,1630612,RJ Nembhard Jr.,RJ,Nembhard Jr.,1
3131,1630174,Aaron Nesmith,Aaron,Nesmith,1
3134,203526,Raul Neto,Raul,Neto,1
3145,1627777,Georges Niang,Georges,Niang,1
3155,1630227,Daishen Nix,Daishen,Nix,1
3158,1630192,Zeke Nnaji,Zeke,Nnaji,1
3163,203457,Nerlens Noel,Nerlens,Noel,1
3182,1629669,Jaylen Nowell,Jaylen,Nowell,1
3185,1628373,Frank Ntilikina,Frank,Ntilikina,1
3186,1629134,Kendrick Nunn,Kendrick,Nunn,1
3188,203994,Jusuf Nurkic,Jusuf,Nurkic,1
3190,1628021,David Nwaba,David,Nwaba,1
3191,1629670,Jordan Nwora,Jordan,Nwora,1
3210,1626220,Royce O'Neale,Royce,O'Neale,1
3229,1629643,Chuma Okeke,Chuma,Okeke,1
3231,1629006,Josh Okogie,Josh,Okogie,1
3232,1630168,Onyeka Okongwu,Onyeka,Okongwu,1
3233,1630171,Isaac Okoro,Isaac,Okoro,1
3234,1629644,KZ Okpala,KZ,Okpala,1
3236,203506,Victor Oladipo,Victor,Oladipo,1
3251,203482,Kelly Olynyk,Kelly,Olynyk,1
3252,1630647,Eugene Omoruyi,Eugene,Omoruyi,1
3262,1626224,Cedi Osman,Cedi,Osman,1
3269,1626162,Kelly Oubre Jr.,Kelly,Oubre Jr.,1
3320,1629672,Eric Paschall,Eric,Paschall,1
3337,101108,Chris Paul,Chris,Paul,1
3347,1626166,Cameron Payne,Cameron,Payne,1
3353,1627780,Gary Payton II,Gary,Payton II,1
3402,1630691,Jamorko Pickett,Jamorko,Pickett,1
3405,1630321,Nate Pierre-Louis,Nate,Pierre-Louis,1
3412,1629033,Theo Pinson,Theo,Pinson,1
3416,1630590,Scotty Pippen Jr.,Scotty,Pippen Jr.,1
